Compound	Date	Repeat	Replicate	log_D	log_chx	log_pbs
SAMPL5_005	150924-Batch1Set1-wk39-BAS-02-C-CHXPBS.wiff	2	C	-1.62	4.82	6.45
SAMPL5_006	150917-Batch1Set1-wk38-BAS-01-A-CHXPBS.wiff	1	A	-0.34	6.56	6.91
SAMPL5_006	150917-Batch1Set1-wk38-BAS-01-B-CHXPBS.wiff	1	B	-0.38	6.57	6.94
SAMPL5_006	150917-Batch1Set1-wk38-BAS-01-C-CHXPBS.wiff	1	C	-0.32	6.64	6.97
SAMPL5_006	150917-Batch1Set1-wk38-BAS-02-A-CHXPBS.wiff	2	A	-0.40	6.51	6.91
SAMPL5_006	150917-Batch1Set1-wk38-BAS-02-B-CHXPBS.wiff	2	B	-0.43	6.50	6.93
SAMPL5_006	150917-Batch1Set1-wk38-BAS-02-C-CHXPBS.wiff	2	C	-0.34	6.61	6.94
SAMPL5_006	150924-Batch1Set1-wk39-BAS-01-A-CHXPBS.wiff	1	A	-1.72	4.82	6.53
SAMPL5_006	150924-Batch1Set1-wk39-BAS-01-B-CHXPBS.wiff	1	B	-1.60	4.74	6.34
SAMPL5_006	150924-Batch1Set1-wk39-BAS-01-C-CHXPBS.wiff	1	C	-1.62	4.70	6.32
SAMPL5_006	150924-Batch1Set1-wk39-BAS-02-A-CHXPBS.wiff	2	A	-1.79	4.80	6.59
SAMPL5_006	150924-Batch1Set1-wk39-BAS-02-B-CHXPBS.wiff	2	B	-1.57	4.77	6.34
SAMPL5_006	150924-Batch1Set1-wk39-BAS-02-C-CHXPBS.wiff	2	C	-1.66	4.74	6.40
SAMPL5_007	150923-Batch1Set2-wk39-BAS-01-A-CHXPBS.wiff	1	A	1.36	5.85	4.49
SAMPL5_007	150923-Batch1Set2-wk39-BAS-01-B-CHXPBS.wiff	1	B	1.50	5.76	4.25
SAMPL5_007	150923-Batch1Set2-wk39-BAS-01-C-CHXPBS.wiff	1	C	1.49	5.61	4.12
SAMPL5_007	150923-Batch1Set2-wk39-BAS-02-A-CHXPBS.wiff	2	A	1.29	5.88	4.59
SAMPL5_007	150923-Batch1Set2-wk39-BAS-02-B-CHXPBS.wiff	2	B	1.33	5.73	4.40
SAMPL5_007	150923-Batch1Set2-wk39-BAS-02-C-CHXPBS.wiff	2	C	1.36	5.61	4.25
SAMPL5_010	150923-Batch1Set2-wk39-BAS-01-A-CHXPBS.wiff	1	A	-2.60	2.02	4.62
SAMPL5_010	150923-Batch1Set2-wk39-BAS-01-B-CHXPBS.wiff	1	B	-2.00	2.48	4.48
SAMPL5_010	150923-Batch1Set2-wk39-BAS-01-C-CHXPBS.wiff	1	C	-1.43	2.85	4.28
SAMPL5_010	150923-Batch1Set2-wk39-BAS-02-A-CHXPBS.wiff	2	A	-1.66	2.96	4.62
SAMPL5_010	150923-Batch1Set2-wk39-BAS-02-B-CHXPBS.wiff	2	B	-1.46	3.05	4.51
SAMPL5_010	150923-Batch1Set2-wk39-BAS-02-C-CHXPBS.wiff	2	C	-0.90	3.02	3.91
SAMPL5_011	150917-Batch1Set1-wk38-BAS-01-A-CHXPBS.wiff	1	A	-2.27	4.82	7.09
SAMPL5_011	150917-Batch1Set1-wk38-BAS-01-B-CHXPBS.wiff	1	B	-2.19	4.93	7.11
SAMPL5_011	150917-Batch1Set1-wk38-BAS-01-C-CHXPBS.wiff	1	C	-2.15	4.97	7.12
SAMPL5_011	150917-Batch1Set1-wk38-BAS-02-A-CHXPBS.wiff	2	A	-2.08	4.99	7.07
SAMPL5_011	150917-Batch1Set1-wk38-BAS-02-B-CHXPBS.wiff	2	B	-1.99	5.09	7.08
SAMPL5_011	150917-Batch1Set1-wk38-BAS-02-C-CHXPBS.wiff	2	C	-1.96	5.17	7.13
SAMPL5_011	150924-Batch1Set1-wk39-BAS-01-A-CHXPBS.wiff	1	A	-3.79	3.41	7.20
SAMPL5_011	150924-Batch1Set1-wk39-BAS-01-B-CHXPBS.wiff	1	B	-3.81	3.23	7.05
SAMPL5_011	150924-Batch1Set1-wk39-BAS-01-C-CHXPBS.wiff	1	C	-3.86	3.21	7.07
SAMPL5_011	150924-Batch1Set1-wk39-BAS-02-A-CHXPBS.wiff	2	A	-3.90	3.24	7.15
SAMPL5_011	150924-Batch1Set1-wk39-BAS-02-B-CHXPBS.wiff	2	B	-3.79	3.27	7.06
SAMPL5_011	150924-Batch1Set1-wk39-BAS-02-C-CHXPBS.wiff	2	C	-3.78	3.25	7.02
SAMPL5_013	150923-Batch1Set2-wk39-BAS-01-A-CHXPBS.wiff	1	A	-0.29	4.03	4.32
SAMPL5_013	150923-Batch1Set2-wk39-BAS-01-B-CHXPBS.wiff	1	B	-1.38	4.11	5.49
SAMPL5_013	150923-Batch1Set2-wk39-BAS-01-C-CHXPBS.wiff	1	C	-1.52	3.84	5.36
SAMPL5_013	150923-Batch1Set2-wk39-BAS-02-A-CHXPBS.wiff	2	A	-1.33	3.61	4.94
SAMPL5_013	150923-Batch1Set2-wk39-BAS-02-B-CHXPBS.wiff	2	B	-1.75	3.70	5.45
SAMPL5_013	150923-Batch1Set2-wk39-BAS-02-C-CHXPBS.wiff	2	C	-1.80	3.51	5.31
SAMPL5_015	150917-Batch1Set1-wk38-BAS-01-A-CHXPBS.wiff	1	A	-2.21	3.79	6.00
SAMPL5_015	150917-Batch1Set1-wk38-BAS-01-B-CHXPBS.wiff	1	B	-2.61	3.44	6.05
SAMPL5_015	150917-Batch1Set1-wk38-BAS-01-C-CHXPBS.wiff	1	C	-2.37	3.68	6.05
SAMPL5_015	150917-Batch1Set1-wk38-BAS-02-A-CHXPBS.wiff	2	A	-2.03	3.65	5.68
SAMPL5_015	150917-Batch1Set1-wk38-BAS-02-B-CHXPBS.wiff	2	B	-2.36	3.48	5.85
SAMPL5_015	150917-Batch1Set1-wk38-BAS-02-C-CHXPBS.wiff	2	C	-2.04	3.90	5.94
SAMPL5_017	150923-Batch1Set2-wk39-BAS-01-A-CHXPBS.wiff	1	A	2.23	6.68	4.45
SAMPL5_017	150923-Batch1Set2-wk39-BAS-01-B-CHXPBS.wiff	1	B	2.43	6.61	4.18
SAMPL5_017	150923-Batch1Set2-wk39-BAS-01-C-CHXPBS.wiff	1	C	2.56	6.49	3.93
SAMPL5_017	150923-Batch1Set2-wk39-BAS-02-A-CHXPBS.wiff	2	A	2.60	6.57	3.97
SAMPL5_017	150923-Batch1Set2-wk39-BAS-02-B-CHXPBS.wiff	2	B	2.71	6.57	3.86
SAMPL5_017	150923-Batch1Set2-wk39-BAS-02-C-CHXPBS.wiff	2	C	2.86	6.43	3.57
SAMPL5_019	150917-Batch1Set1-wk38-BAS-01-A-CHXPBS.wiff	1	A	0.53	4.05	3.52
SAMPL5_019	150917-Batch1Set1-wk38-BAS-01-B-CHXPBS.wiff	1	B	0.60	4.01	3.41
SAMPL5_019	150917-Batch1Set1-wk38-BAS-01-C-CHXPBS.wiff	1	C	2.43	4.02	1.58
SAMPL5_019	150917-Batch1Set1-wk38-BAS-02-A-CHXPBS.wiff	2	A	1.50	4.14	2.64
SAMPL5_019	150917-Batch1Set1-wk38-BAS-02-B-CHXPBS.wiff	2	B	1.51	4.04	2.53
SAMPL5_019	150917-Batch1Set1-wk38-BAS-02-C-CHXPBS.wiff	2	C	1.81	4.15	2.34
SAMPL5_020	150923-Batch1Set2-wk39-BAS-01-A-CHXPBS.wiff	1	A	1.51	6.78	5.27
SAMPL5_020	150923-Batch1Set2-wk39-BAS-01-B-CHXPBS.wiff	1	B	1.66	6.67	5.01
SAMPL5_020	150923-Batch1Set2-wk39-BAS-01-C-CHXPBS.wiff	1	C	1.67	6.52	4.85
SAMPL5_020	150923-Batch1Set2-wk39-BAS-02-A-CHXPBS.wiff	2	A	1.63	6.93	5.30
SAMPL5_020	150923-Batch1Set2-wk39-BAS-02-B-CHXPBS.wiff	2	B	1.65	6.79	5.13
SAMPL5_020	150923-Batch1Set2-wk39-BAS-02-C-CHXPBS.wiff	2	C	1.89	6.69	4.80
SAMPL5_021	150923-Batch1Set2-wk39-BAS-01-A-CHXPBS.wiff	1	A	1.12	6.45	5.33
SAMPL5_021	150923-Batch1Set2-wk39-BAS-01-B-CHXPBS.wiff	1	B	1.19	6.30	5.11
SAMPL5_021	150923-Batch1Set2-wk39-BAS-01-C-CHXPBS.wiff	1	C	1.28	6.17	4.89
SAMPL5_021	150923-Batch1Set2-wk39-BAS-02-A-CHXPBS.wiff	2	A	1.09	6.44	5.35
SAMPL5_021	150923-Batch1Set2-wk39-BAS-02-B-CHXPBS.wiff	2	B	1.12	6.29	5.17
SAMPL5_021	150923-Batch1Set2-wk39-BAS-02-C-CHXPBS.wiff	2	C	1.26	6.16	4.90
SAMPL5_024	150923-Batch1Set2-wk39-BAS-01-A-CHXPBS.wiff	1	A	1.07	3.72	2.65
SAMPL5_024	150923-Batch1Set2-wk39-BAS-01-B-CHXPBS.wiff	1	B	1.32	3.64	2.32
SAMPL5_024	150923-Batch1Set2-wk39-BAS-01-C-CHXPBS.wiff	1	C	1.64	3.41	1.77
SAMPL5_024	150923-Batch1Set2-wk39-BAS-02-A-CHXPBS.wiff	2	A	0.77	3.66	2.89
SAMPL5_024	150923-Batch1Set2-wk39-BAS-02-B-CHXPBS.wiff	2	B	0.61	3.56	2.94
SAMPL5_024	150923-Batch1Set2-wk39-BAS-02-C-CHXPBS.wiff	2	C	0.79	3.37	2.58
SAMPL5_026	150917-Batch1Set1-wk38-BAS-01-A-CHXPBS.wiff	1	A	-2.58	4.03	6.61
SAMPL5_026	150917-Batch1Set1-wk38-BAS-01-B-CHXPBS.wiff	1	B	-2.58	4.07	6.65
SAMPL5_026	150917-Batch1Set1-wk38-BAS-01-C-CHXPBS.wiff	1	C	-2.39	4.23	6.62
SAMPL5_026	150917-Batch1Set1-wk38-BAS-02-A-CHXPBS.wiff	2	A	-2.70	3.91	6.61
SAMPL5_026	150917-Batch1Set1-wk38-BAS-02-B-CHXPBS.wiff	2	B	-2.73	3.92	6.65
SAMPL5_026	150917-Batch1Set1-wk38-BAS-02-C-CHXPBS.wiff	2	C	-2.54	4.08	6.62
SAMPL5_027	150917-Batch1Set1-wk38-BAS-01-A-CHXPBS.wiff	1	A	-1.21	5.80	7.00
SAMPL5_027	150917-Batch1Set1-wk38-BAS-01-B-CHXPBS.wiff	1	B	-1.20	5.83	7.04
SAMPL5_027	150917-Batch1Set1-wk38-BAS-01-C-CHXPBS.wiff	1	C	-1.13	5.91	7.03
SAMPL5_027	150917-Batch1Set1-wk38-BAS-02-A-CHXPBS.wiff	2	A	-1.23	5.79	7.02
SAMPL5_027	150917-Batch1Set1-wk38-BAS-02-B-CHXPBS.wiff	2	B	-1.18	5.81	6.99
SAMPL5_027	150917-Batch1Set1-wk38-BAS-02-C-CHXPBS.wiff	2	C	-1.07	5.87	6.94
SAMPL5_027	150924-Batch1Set1-wk39-BAS-01-A-CHXPBS.wiff	1	A	-2.56	4.19	6.74
SAMPL5_027	150924-Batch1Set1-wk39-BAS-01-B-CHXPBS.wiff	1	B	-2.60	4.08	6.68
SAMPL5_027	150924-Batch1Set1-wk39-BAS-01-C-CHXPBS.wiff	1	C	-2.48	4.13	6.61
SAMPL5_027	150924-Batch1Set1-wk39-BAS-02-A-CHXPBS.wiff	2	A	-2.63	4.13	6.76
SAMPL5_027	150924-Batch1Set1-wk39-BAS-02-B-CHXPBS.wiff	2	B	-2.58	4.08	6.66
SAMPL5_027	150924-Batch1Set1-wk39-BAS-02-C-CHXPBS.wiff	2	C	-2.59	4.01	6.60
SAMPL5_033	150923-Batch1Set2-wk39-BAS-01-A-CHXPBS.wiff	1	A	1.75	5.60	3.85
SAMPL5_033	150923-Batch1Set2-wk39-BAS-01-B-CHXPBS.wiff	1	B	1.80	5.59	3.80
SAMPL5_033	150923-Batch1Set2-wk39-BAS-01-C-CHXPBS.wiff	1	C	1.84	5.39	3.55
SAMPL5_033	150923-Batch1Set2-wk39-BAS-02-A-CHXPBS.wiff	2	A	1.76	5.61	3.85
SAMPL5_033	150923-Batch1Set2-wk39-BAS-02-B-CHXPBS.wiff	2	B	1.79	5.53	3.74
SAMPL5_033	150923-Batch1Set2-wk39-BAS-02-C-CHXPBS.wiff	2	C	1.97	5.42	3.46
SAMPL5_037	150917-Batch1Set1-wk38-BAS-01-A-CHXPBS.wiff	1	A	-1.53	3.55	5.08
SAMPL5_037	150917-Batch1Set1-wk38-BAS-01-B-CHXPBS.wiff	1	B	-1.54	3.61	5.15
SAMPL5_037	150917-Batch1Set1-wk38-BAS-01-C-CHXPBS.wiff	1	C	-1.65	3.51	5.16
SAMPL5_037	150917-Batch1Set1-wk38-BAS-02-A-CHXPBS.wiff	2	A	-1.57	3.51	5.08
SAMPL5_037	150917-Batch1Set1-wk38-BAS-02-B-CHXPBS.wiff	2	B	-1.52	3.59	5.11
SAMPL5_037	150917-Batch1Set1-wk38-BAS-02-C-CHXPBS.wiff	2	C	-1.41	3.69	5.10
SAMPL5_042	150923-Batch1Set2-wk39-BAS-01-A-CHXPBS.wiff	1	A	-1.20	4.05	5.26
SAMPL5_042	150923-Batch1Set2-wk39-BAS-01-B-CHXPBS.wiff	1	B	-1.11	3.99	5.10
SAMPL5_042	150923-Batch1Set2-wk39-BAS-01-C-CHXPBS.wiff	1	C	-1.17	3.66	4.84
SAMPL5_042	150923-Batch1Set2-wk39-BAS-02-A-CHXPBS.wiff	2	A	-1.13	4.09	5.21
SAMPL5_042	150923-Batch1Set2-wk39-BAS-02-B-CHXPBS.wiff	2	B	-1.12	3.97	5.09
SAMPL5_042	150923-Batch1Set2-wk39-BAS-02-C-CHXPBS.wiff	2	C	-1.07	3.75	4.82
SAMPL5_044	150923-Batch1Set2-wk39-BAS-01-A-CHXPBS.wiff	1	A	0.48	3.81	3.34
SAMPL5_044	150923-Batch1Set2-wk39-BAS-01-B-CHXPBS.wiff	1	B	1.03	3.77	2.74
SAMPL5_044	150923-Batch1Set2-wk39-BAS-01-C-CHXPBS.wiff	1	C	1.23	3.62	2.39
SAMPL5_044	150923-Batch1Set2-wk39-BAS-02-A-CHXPBS.wiff	2	A	1.22	3.94	2.72
SAMPL5_044	150923-Batch1Set2-wk39-BAS-02-B-CHXPBS.wiff	2	B	1.25	3.89	2.64
SAMPL5_044	150923-Batch1Set2-wk39-BAS-02-C-CHXPBS.wiff	2	C	1.37	3.78	2.41
SAMPL5_045	150923-Batch1Set2-wk39-BAS-01-A-CHXPBS.wiff	1	A	-2.07	4.49	6.57
SAMPL5_045	150923-Batch1Set2-wk39-BAS-01-B-CHXPBS.wiff	1	B	-2.02	4.36	6.38
SAMPL5_045	150923-Batch1Set2-wk39-BAS-01-C-CHXPBS.wiff	1	C	-2.10	4.20	6.30
SAMPL5_045	150923-Batch1Set2-wk39-BAS-02-A-CHXPBS.wiff	2	A	-2.15	4.45	6.60
SAMPL5_045	150923-Batch1Set2-wk39-BAS-02-B-CHXPBS.wiff	2	B	-2.09	4.42	6.51
SAMPL5_045	150923-Batch1Set2-wk39-BAS-02-C-CHXPBS.wiff	2	C	-2.09	4.20	6.29
SAMPL5_046	150923-Batch1Set2-wk39-BAS-01-A-CHXPBS.wiff	1	A	0.33	3.75	3.42
SAMPL5_046	150923-Batch1Set2-wk39-BAS-01-B-CHXPBS.wiff	1	B	0.28	3.61	3.33
SAMPL5_046	150923-Batch1Set2-wk39-BAS-01-C-CHXPBS.wiff	1	C	0.21	3.37	3.16
SAMPL5_046	150923-Batch1Set2-wk39-BAS-02-A-CHXPBS.wiff	2	A	0.08	3.44	3.35
SAMPL5_046	150923-Batch1Set2-wk39-BAS-02-B-CHXPBS.wiff	2	B	0.18	3.53	3.35
SAMPL5_046	150923-Batch1Set2-wk39-BAS-02-C-CHXPBS.wiff	2	C	0.08	3.19	3.11
SAMPL5_047	150923-Batch1Set2-wk39-BAS-01-A-CHXPBS.wiff	1	A	-0.47	3.08	3.55
SAMPL5_047	150923-Batch1Set2-wk39-BAS-01-B-CHXPBS.wiff	1	B	-0.42	2.96	3.38
SAMPL5_047	150923-Batch1Set2-wk39-BAS-01-C-CHXPBS.wiff	1	C	-0.39	2.76	3.15
SAMPL5_047	150923-Batch1Set2-wk39-BAS-02-A-CHXPBS.wiff	2	A	-0.35	3.16	3.51
SAMPL5_047	150923-Batch1Set2-wk39-BAS-02-B-CHXPBS.wiff	2	B	-0.26	3.14	3.41
SAMPL5_047	150923-Batch1Set2-wk39-BAS-02-C-CHXPBS.wiff	2	C	-0.31	2.89	3.20
SAMPL5_048	150923-Batch1Set2-wk39-BAS-01-A-CHXPBS.wiff	1	A	0.68	5.29	4.61
SAMPL5_048	150923-Batch1Set2-wk39-BAS-01-B-CHXPBS.wiff	1	B	1.11	5.27	4.15
SAMPL5_048	150923-Batch1Set2-wk39-BAS-01-C-CHXPBS.wiff	1	C	1.14	5.05	3.91
SAMPL5_048	150923-Batch1Set2-wk39-BAS-02-A-CHXPBS.wiff	2	A	0.83	5.41	4.58
SAMPL5_048	150923-Batch1Set2-wk39-BAS-02-B-CHXPBS.wiff	2	B	1.07	5.34	4.27
SAMPL5_048	150923-Batch1Set2-wk39-BAS-02-C-CHXPBS.wiff	2	C	1.27	5.23	3.96
SAMPL5_049	150917-Batch1Set1-wk38-BAS-01-A-CHXPBS.wiff	1	A	1.70	4.50	2.80
SAMPL5_049	150917-Batch1Set1-wk38-BAS-01-B-CHXPBS.wiff	1	B	1.75	4.58	2.83
SAMPL5_049	150917-Batch1Set1-wk38-BAS-01-C-CHXPBS.wiff	1	C	1.83	4.66	2.83
SAMPL5_049	150917-Batch1Set1-wk38-BAS-02-A-CHXPBS.wiff	2	A	1.73	4.52	2.79
SAMPL5_049	150917-Batch1Set1-wk38-BAS-02-B-CHXPBS.wiff	2	B	1.69	4.56	2.87
SAMPL5_049	150917-Batch1Set1-wk38-BAS-02-C-CHXPBS.wiff	2	C	1.79	4.63	2.84
SAMPL5_049	150924-Batch1Set1-wk39-BAS-01-A-CHXPBS.wiff	1	A	0.65	2.81	2.16
SAMPL5_049	150924-Batch1Set1-wk39-BAS-01-B-CHXPBS.wiff	1	B	0.91	2.94	2.03
SAMPL5_049	150924-Batch1Set1-wk39-BAS-01-C-CHXPBS.wiff	1	C	0.89	2.82	1.94
SAMPL5_049	150924-Batch1Set1-wk39-BAS-02-A-CHXPBS.wiff	2	A	0.69	2.91	2.23
SAMPL5_049	150924-Batch1Set1-wk39-BAS-02-B-CHXPBS.wiff	2	B	1.17	2.95	1.78
SAMPL5_049	150924-Batch1Set1-wk39-BAS-02-C-CHXPBS.wiff	2	C	0.67	2.72	2.05
SAMPL5_050	150924-Batch1Set1-wk39-BAS-01-A-CHXPBS.wiff	1	A	-3.10	2.43	5.54
SAMPL5_050	150924-Batch1Set1-wk39-BAS-01-B-CHXPBS.wiff	1	B	-3.96	1.50	5.46
SAMPL5_050	150924-Batch1Set1-wk39-BAS-01-C-CHXPBS.wiff	1	C	-2.93	2.43	5.36
SAMPL5_050	150924-Batch1Set1-wk39-BAS-02-A-CHXPBS.wiff	2	A	-2.90	2.61	5.51
SAMPL5_050	150924-Batch1Set1-wk39-BAS-02-B-CHXPBS.wiff	2	B	-4.04	1.45	5.49
SAMPL5_050	150924-Batch1Set1-wk39-BAS-02-C-CHXPBS.wiff	2	C	-3.59	1.75	5.34
SAMPL5_055	150917-Batch1Set1-wk38-BAS-01-A-CHXPBS.wiff	1	A	-0.85	5.67	6.51
SAMPL5_055	150917-Batch1Set1-wk38-BAS-01-B-CHXPBS.wiff	1	B	-0.86	5.68	6.54
SAMPL5_055	150917-Batch1Set1-wk38-BAS-01-C-CHXPBS.wiff	1	C	-0.77	5.76	6.53
SAMPL5_055	150917-Batch1Set1-wk38-BAS-02-A-CHXPBS.wiff	2	A	-0.78	5.72	6.50
SAMPL5_055	150917-Batch1Set1-wk38-BAS-02-B-CHXPBS.wiff	2	B	-0.81	5.70	6.52
SAMPL5_055	150917-Batch1Set1-wk38-BAS-02-C-CHXPBS.wiff	2	C	-0.74	5.79	6.53
SAMPL5_055	150924-Batch1Set1-wk39-BAS-01-A-CHXPBS.wiff	1	A	-2.29	3.84	6.12
SAMPL5_055	150924-Batch1Set1-wk39-BAS-01-B-CHXPBS.wiff	1	B	-2.08	3.87	5.95
SAMPL5_055	150924-Batch1Set1-wk39-BAS-01-C-CHXPBS.wiff	1	C	-2.08	3.78	5.86
SAMPL5_055	150924-Batch1Set1-wk39-BAS-02-A-CHXPBS.wiff	2	A	-2.23	3.85	6.07
SAMPL5_055	150924-Batch1Set1-wk39-BAS-02-B-CHXPBS.wiff	2	B	-2.05	3.72	5.78
SAMPL5_055	150924-Batch1Set1-wk39-BAS-02-C-CHXPBS.wiff	2	C	-2.21	3.67	5.88
SAMPL5_056	150917-Batch1Set1-wk38-BAS-01-A-CHXPBS.wiff	1	A	-2.50	4.05	6.55
SAMPL5_056	150917-Batch1Set1-wk38-BAS-01-B-CHXPBS.wiff	1	B	-2.49	4.13	6.63
SAMPL5_056	150917-Batch1Set1-wk38-BAS-01-C-CHXPBS.wiff	1	C	-2.41	4.21	6.62
SAMPL5_056	150917-Batch1Set1-wk38-BAS-02-A-CHXPBS.wiff	2	A	-2.53	4.01	6.54
SAMPL5_056	150917-Batch1Set1-wk38-BAS-02-B-CHXPBS.wiff	2	B	-2.46	4.14	6.60
SAMPL5_056	150917-Batch1Set1-wk38-BAS-02-C-CHXPBS.wiff	2	C	-2.39	4.27	6.66
SAMPL5_058	150917-Batch1Set1-wk38-BAS-01-A-CHXPBS.wiff	1	A	1.37	6.40	5.03
SAMPL5_058	150917-Batch1Set1-wk38-BAS-01-B-CHXPBS.wiff	1	B	1.34	6.47	5.13
SAMPL5_058	150917-Batch1Set1-wk38-BAS-01-C-CHXPBS.wiff	1	C	1.36	6.54	5.18
SAMPL5_058	150917-Batch1Set1-wk38-BAS-02-A-CHXPBS.wiff	2	A	1.34	6.39	5.05
SAMPL5_058	150917-Batch1Set1-wk38-BAS-02-B-CHXPBS.wiff	2	B	1.36	6.48	5.12
SAMPL5_058	150917-Batch1Set1-wk38-BAS-02-C-CHXPBS.wiff	2	C	1.37	6.53	5.16
SAMPL5_058	150924-Batch1Set1-wk39-BAS-01-A-CHXPBS.wiff	1	A	0.21	4.80	4.59
SAMPL5_058	150924-Batch1Set1-wk39-BAS-01-B-CHXPBS.wiff	1	B	0.32	4.75	4.43
SAMPL5_058	150924-Batch1Set1-wk39-BAS-01-C-CHXPBS.wiff	1	C	0.28	4.68	4.40
SAMPL5_058	150924-Batch1Set1-wk39-BAS-02-A-CHXPBS.wiff	2	A	0.28	4.83	4.56
SAMPL5_058	150924-Batch1Set1-wk39-BAS-02-B-CHXPBS.wiff	2	B	0.32	4.73	4.41
SAMPL5_058	150924-Batch1Set1-wk39-BAS-02-C-CHXPBS.wiff	2	C	0.25	4.64	4.39
SAMPL5_059	150923-Batch1Set2-wk39-BAS-01-A-CHXPBS.wiff	1	A	-1.34	5.35	6.69
SAMPL5_059	150923-Batch1Set2-wk39-BAS-01-B-CHXPBS.wiff	1	B	-1.35	5.21	6.56
SAMPL5_059	150923-Batch1Set2-wk39-BAS-01-C-CHXPBS.wiff	1	C	-1.37	5.06	6.44
SAMPL5_059	150923-Batch1Set2-wk39-BAS-02-A-CHXPBS.wiff	2	A	-1.28	5.40	6.68
SAMPL5_059	150923-Batch1Set2-wk39-BAS-02-B-CHXPBS.wiff	2	B	-1.31	5.26	6.58
SAMPL5_059	150923-Batch1Set2-wk39-BAS-02-C-CHXPBS.wiff	2	C	-1.37	5.03	6.39
